날짜,지점,강수량(mm)
2002-01-01,강원영서,0.1
2002-01-02,강원영서,0
2002-01-03,강원영서,0
2002-01-04,강원영서,0.7
2002-01-05,강원영서,0
2002-01-06,강원영서,0
2002-01-07,강원영서,4.3
2002-01-08,강원영서,0
2002-01-09,강원영서,0
2002-01-10,강원영서,0
2002-01-11,강원영서,0
2002-01-12,강원영서,0
2002-01-13,강원영서,0
2002-01-14,강원영서,3.3
2002-01-15,강원영서,20.1
2002-01-16,강원영서,15.8
2002-01-17,강원영서,1.5
2002-01-18,강원영서,0
2002-01-19,강원영서,0
2002-01-20,강원영서,4.8
2002-01-21,강원영서,0.3
2002-01-22,강원영서,0.1
2002-01-23,강원영서,0
2002-01-24,강원영서,0
2002-01-25,강원영서,0
2002-01-26,강원영서,1.8
2002-01-27,강원영서,1.7
2002-01-28,강원영서,0
2002-01-29,강원영서,0.5
2002-01-30,강원영서,0.6
2002-01-31,강원영서,0
2002-02-01,강원영서,0
2002-02-02,강원영서,0
2002-02-03,강원영서,0
2002-02-04,강원영서,0
2002-02-05,강원영서,0
2002-02-06,강원영서,1.2
2002-02-07,강원영서,0
2002-02-08,강원영서,0
2002-02-09,강원영서,0
2002-02-10,강원영서,0
2002-02-11,강원영서,0.6
2002-02-12,강원영서,0
2002-02-13,강원영서,0
2002-02-14,강원영서,0
2002-02-15,강원영서,0
2002-02-16,강원영서,0
2002-02-17,강원영서,1.6
2002-02-18,강원영서,0
2002-02-19,강원영서,0
2002-02-20,강원영서,0
2002-02-21,강원영서,0.1
2002-02-22,강원영서,0
2002-02-23,강원영서,0
2002-02-24,강원영서,0
2002-02-25,강원영서,0
2002-02-26,강원영서,0
2002-02-27,강원영서,0
2002-02-28,강원영서,0
2002-03-01,강원영서,0
2002-03-02,강원영서,0
2002-03-03,강원영서,0
2002-03-04,강원영서,0
2002-03-05,강원영서,1.9
2002-03-06,강원영서,2.3
2002-03-07,강원영서,0
2002-03-08,강원영서,0
2002-03-09,강원영서,0
2002-03-10,강원영서,1.9
2002-03-11,강원영서,0
2002-03-12,강원영서,0
2002-03-13,강원영서,0
2002-03-14,강원영서,0.6
2002-03-15,강원영서,0.5
2002-03-16,강원영서,0
2002-03-17,강원영서,0
