날짜,지점,강수량(mm)
2002-08-07,서울경기,130.8
2002-08-08,서울경기,0.3
2002-08-09,서울경기,1.1
2002-08-10,서울경기,11.9
2002-08-11,서울경기,2.9
2002-08-12,서울경기,3.4
2002-08-13,서울경기,0
2002-08-14,서울경기,0.5
2002-08-15,서울경기,0
2002-08-16,서울경기,0.1
2002-08-17,서울경기,8.1
2002-08-18,서울경기,7
2002-08-19,서울경기,5.7
2002-08-20,서울경기,0
2002-08-21,서울경기,0
2002-08-22,서울경기,8.9
2002-08-23,서울경기,12
2002-08-24,서울경기,0
2002-08-25,서울경기,0
2002-08-26,서울경기,3.3
2002-08-27,서울경기,48.9
2002-08-28,서울경기,0
2002-08-29,서울경기,0
2002-08-30,서울경기,0.9
2002-08-31,서울경기,45.3
2002-09-01,서울경기,14.1
2002-09-02,서울경기,0
2002-09-03,서울경기,0
2002-09-04,서울경기,0
2002-09-05,서울경기,1
2002-09-06,서울경기,0
2002-09-07,서울경기,0
2002-09-08,서울경기,0
2002-09-09,서울경기,0
2002-09-10,서울경기,0
2002-09-11,서울경기,0
2002-09-12,서울경기,0.2
2002-09-13,서울경기,0
2002-09-14,서울경기,1.4
2002-09-15,서울경기,1.3
2002-09-16,서울경기,0.4
2002-09-17,서울경기,0
2002-09-18,서울경기,0
2002-09-19,서울경기,0
2002-09-20,서울경기,0
2002-09-21,서울경기,3.1
2002-09-22,서울경기,0
2002-09-23,서울경기,0
2002-09-24,서울경기,0
2002-09-25,서울경기,0
2002-09-26,서울경기,0
2002-09-27,서울경기,0
2002-09-28,서울경기,7.9
2002-09-29,서울경기,9.5
2002-09-30,서울경기,0.2
2002-10-01,서울경기,0
2002-10-02,서울경기,5.8
2002-10-03,서울경기,0.5
2002-10-04,서울경기,0
2002-10-05,서울경기,6.1
2002-10-06,서울경기,7.8
2002-10-07,서울경기,0
2002-10-08,서울경기,0
2002-10-09,서울경기,0
2002-10-10,서울경기,0
2002-10-11,서울경기,0
2002-10-12,서울경기,0
2002-10-13,서울경기,10.9
2002-10-14,서울경기,0.1
2002-10-15,서울경기,6.6
2002-10-16,서울경기,0
2002-10-17,서울경기,0
2002-10-18,서울경기,0
2002-10-19,서울경기,0
2002-10-20,서울경기,0.6
2002-10-21,서울경기,0.3
2002-10-22,서울경기,0
2002-10-23,서울경기,0
2002-10-24,서울경기,6.8
2002-10-25,서울경기,1.8
2002-10-26,서울경기,6.9
2002-10-27,서울경기,0
2002-10-28,서울경기,0
2002-10-29,서울경기,0
2002-10-30,서울경기,0
2002-10-31,서울경기,0
2002-11-01,서울경기,0
2002-11-02,서울경기,0.1
2002-11-03,서울경기,0
2002-11-04,서울경기,0
2002-11-05,서울경기,0
2002-11-06,서울경기,0
2002-11-07,서울경기,0.4
2002-11-08,서울경기,0
2002-11-09,서울경기,0
2002-11-10,서울경기,0
2002-11-11,서울경기,0
2002-11-12,서울경기,0
2002-11-13,서울경기,0
2002-11-14,서울경기,0
2002-11-15,서울경기,0
2002-11-16,서울경기,0
2002-11-17,서울경기,7.9
2002-11-18,서울경기,0
2002-11-19,서울경기,0
2002-11-20,서울경기,4.4
2002-11-21,서울경기,0
2002-11-22,서울경기,0
2002-11-23,서울경기,0
2002-11-24,서울경기,0
2002-11-25,서울경기,0
2002-11-26,서울경기,0.1
2002-11-27,서울경기,0
2002-11-28,서울경기,0
2002-11-29,서울경기,0.2
2002-11-30,서울경기,0
2002-12-01,서울경기,0
2002-12-02,서울경기,0
2002-12-03,서울경기,0
2002-12-04,서울경기,0.3
2002-12-05,서울경기,0
2002-12-06,서울경기,0
2002-12-07,서울경기,0
2002-12-08,서울경기,5.1
2002-12-09,서울경기,0
2002-12-10,서울경기,0
2002-12-11,서울경기,0
2002-12-12,서울경기,0
2002-12-13,서울경기,0
2002-12-14,서울경기,0
2002-12-15,서울경기,0.1
2002-12-16,서울경기,1.4
2002-12-17,서울경기,0
2002-12-18,서울경기,0
2002-12-19,서울경기,0
2002-12-20,서울경기,0
2002-12-21,서울경기,0
2002-12-22,서울경기,0
2002-12-23,서울경기,5.5
2002-12-24,서울경기,0.3
2002-12-25,서울경기,0.5
2002-12-26,서울경기,0
2002-12-27,서울경기,0
2002-12-28,서울경기,0
2002-12-29,서울경기,0
2002-12-30,서울경기,0.3
2002-12-31,서울경기,0.1
2003-01-01,서울경기,0
2003-01-02,서울경기,0
2003-01-03,서울경기,1.8
2003-01-04,서울경기,0.1
2003-01-05,서울경기,0
2003-01-06,서울경기,0
2003-01-07,서울경기,0
2003-01-08,서울경기,0
2003-01-09,서울경기,0
2003-01-10,서울경기,0
2003-01-11,서울경기,0
2003-01-12,서울경기,0
2003-01-13,서울경기,0
2003-01-14,서울경기,0
2003-01-15,서울경기,0
2003-01-16,서울경기,0
2003-01-17,서울경기,2.6
2003-01-18,서울경기,0
2003-01-19,서울경기,0
2003-01-20,서울경기,0
2003-01-21,서울경기,0
2003-01-22,서울경기,0.5
2003-01-23,서울경기,0
2003-01-24,서울경기,0
2003-01-25,서울경기,0
2003-01-26,서울경기,2
2003-01-27,서울경기,4
2003-01-28,서울경기,0
2003-01-29,서울경기,0
2003-01-30,서울경기,0
2003-01-31,서울경기,0.1
2003-02-01,서울경기,0
2003-02-02,서울경기,0
2003-02-03,서울경기,0
2003-02-04,서울경기,0
2003-02-05,서울경기,0
2003-02-06,서울경기,0
2003-02-07,서울경기,0
2003-02-08,서울경기,4.6
2003-02-09,서울경기,0
2003-02-10,서울경기,0.5
2003-02-11,서울경기,0.8
2003-02-12,서울경기,0.1
2003-02-13,서울경기,0
2003-02-14,서울경기,0
2003-02-15,서울경기,0
2003-02-16,서울경기,0
2003-02-17,서울경기,0
2003-02-18,서울경기,0
2003-02-19,서울경기,0
2003-02-20,서울경기,0
2003-02-21,서울경기,12.6
2003-02-22,서울경기,17.9
2003-02-23,서울경기,0.7
2003-02-24,서울경기,0.2
2003-02-25,서울경기,0
2003-02-26,서울경기,0.3
2003-02-27,서울경기,0
2003-02-28,서울경기,0
2003-03-01,서울경기,0.9
2003-03-02,서울경기,4.5
2003-03-03,서울경기,3
2003-03-04,서울경기,0
2003-03-05,서울경기,0
2003-03-06,서울경기,3
2003-03-07,서울경기,4.1
2003-03-08,서울경기,0.5
2003-03-09,서울경기,0.4
2003-03-10,서울경기,0
2003-03-11,서울경기,0
2003-03-12,서울경기,0
2003-03-13,서울경기,0
2003-03-14,서울경기,0
2003-03-15,서울경기,0
2003-03-16,서울경기,7
2003-03-17,서울경기,0.5
2003-03-18,서울경기,0
2003-03-19,서울경기,0
2003-03-20,서울경기,0
2003-03-21,서울경기,0.5
2003-03-22,서울경기,0
2003-03-23,서울경기,0
2003-03-24,서울경기,0
2003-03-25,서울경기,0
2003-03-26,서울경기,0
2003-03-27,서울경기,2.6
2003-03-28,서울경기,0
2003-03-29,서울경기,0
2003-03-30,서울경기,0
2003-03-31,서울경기,0
2003-04-01,서울경기,0
2003-04-02,서울경기,0
2003-04-03,서울경기,0
2003-04-04,서울경기,0
2003-04-05,서울경기,0
2003-04-06,서울경기,0
2003-04-07,서울경기,6.8
2003-04-08,서울경기,2.8
2003-04-09,서울경기,0
2003-04-10,서울경기,0
2003-04-11,서울경기,10.6
2003-04-12,서울경기,0
2003-04-13,서울경기,0
2003-04-14,서울경기,0
2003-04-15,서울경기,0
2003-04-16,서울경기,0
2003-04-17,서울경기,0
2003-04-18,서울경기,33.4
2003-04-19,서울경기,8.8
2003-04-20,서울경기,4.6
2003-04-21,서울경기,0
2003-04-22,서울경기,2.5
2003-04-23,서울경기,12.1
2003-04-24,서울경기,0
2003-04-25,서울경기,20.6
2003-04-26,서울경기,0
2003-04-27,서울경기,0
2003-04-28,서울경기,0
2003-04-29,서울경기,46.1
2003-04-30,서울경기,0
2003-05-01,서울경기,0
2003-05-02,서울경기,0
2003-05-03,서울경기,0
2003-05-04,서울경기,0
2003-05-05,서울경기,0
2003-05-06,서울경기,4
2003-05-07,서울경기,77.1
2003-05-08,서울경기,0
2003-05-09,서울경기,0
2003-05-10,서울경기,0
2003-05-11,서울경기,0
2003-05-12,서울경기,0
2003-05-13,서울경기,0
2003-05-14,서울경기,0
2003-05-15,서울경기,0
2003-05-16,서울경기,0
2003-05-17,서울경기,0
2003-05-18,서울경기,0
2003-05-19,서울경기,0
2003-05-20,서울경기,0
2003-05-21,서울경기,0
2003-05-22,서울경기,0
2003-05-23,서울경기,0
2003-05-24,서울경기,2.8
2003-05-25,서울경기,6
2003-05-26,서울경기,0
2003-05-27,서울경기,0
2003-05-28,서울경기,0
2003-05-29,서울경기,0.7
2003-05-30,서울경기,2.8
2003-05-31,서울경기,0
2003-06-01,서울경기,0
2003-06-02,서울경기,0
2003-06-03,서울경기,0
2003-06-04,서울경기,0
2003-06-05,서울경기,0
2003-06-06,서울경기,3.1
2003-06-07,서울경기,0
2003-06-08,서울경기,0
2003-06-09,서울경기,0
2003-06-10,서울경기,0.2
2003-06-11,서울경기,15.4
2003-06-12,서울경기,16.4
2003-06-13,서울경기,1.1
2003-06-14,서울경기,2.6
2003-06-15,서울경기,18.1
2003-06-16,서울경기,1.6
2003-06-17,서울경기,0
2003-06-18,서울경기,0
2003-06-19,서울경기,0
2003-06-20,서울경기,0
2003-06-21,서울경기,0
2003-06-22,서울경기,0
2003-06-23,서울경기,27
2003-06-24,서울경기,8.5
2003-06-25,서울경기,1.9
2003-06-26,서울경기,0
2003-06-27,서울경기,59.1
2003-06-28,서울경기,0.5
2003-06-29,서울경기,5.8
2003-06-30,서울경기,0
2003-07-01,서울경기,0.2
2003-07-02,서울경기,1.5
2003-07-03,서울경기,15.1
2003-07-04,서울경기,0
2003-07-05,서울경기,0
2003-07-06,서울경기,3.3
2003-07-07,서울경기,0
2003-07-08,서울경기,0
2003-07-09,서울경기,47.9
2003-07-10,서울경기,0.2
2003-07-11,서울경기,0
2003-07-12,서울경기,3.6
2003-07-13,서울경기,2.3
2003-07-14,서울경기,0
2003-07-15,서울경기,4.6
2003-07-16,서울경기,0.1
2003-07-17,서울경기,0.2
2003-07-18,서울경기,57.8
2003-07-19,서울경기,11.4
2003-07-20,서울경기,7.1
2003-07-21,서울경기,0.7
2003-07-22,서울경기,122.8
2003-07-23,서울경기,2.4
2003-07-24,서울경기,9
2003-07-25,서울경기,10.1
2003-07-26,서울경기,0
2003-07-27,서울경기,24.6
2003-07-28,서울경기,33.3
2003-07-29,서울경기,9.1
2003-07-30,서울경기,0
2003-07-31,서울경기,0
2003-08-01,서울경기,0
2003-08-02,서울경기,12.4
2003-08-03,서울경기,13.4
2003-08-04,서울경기,0
2003-08-05,서울경기,0.5
2003-08-06,서울경기,34.4
2003-08-07,서울경기,25
2003-08-08,서울경기,0
2003-08-09,서울경기,0
2003-08-10,서울경기,3.3
2003-08-11,서울경기,4.6
2003-08-12,서울경기,0
2003-08-13,서울경기,0
2003-08-14,서울경기,0
2003-08-15,서울경기,0
2003-08-16,서울경기,0
2003-08-17,서울경기,0.3
2003-08-18,서울경기,6.9
2003-08-19,서울경기,25.6
2003-08-20,서울경기,78.8
2003-08-21,서울경기,6.1
2003-08-22,서울경기,0.8
2003-08-23,서울경기,67.5
2003-08-24,서울경기,122.3
2003-08-25,서울경기,3.5
2003-08-26,서울경기,0
2003-08-27,서울경기,80.1
2003-08-28,서울경기,5.5
2003-08-29,서울경기,0
2003-08-30,서울경기,11.9
2003-08-31,서울경기,0.9
2003-09-01,서울경기,0
2003-09-02,서울경기,15.8
2003-09-03,서울경기,4.6
2003-09-04,서울경기,0
2003-09-05,서울경기,29.4
2003-09-06,서울경기,0
2003-09-07,서울경기,30.4
2003-09-08,서울경기,9.5
2003-09-09,서울경기,45.9
2003-09-10,서울경기,0
2003-09-11,서울경기,0
2003-09-12,서울경기,10.9
2003-09-13,서울경기,2.8
2003-09-14,서울경기,0
2003-09-15,서울경기,0
2003-09-16,서울경기,0
2003-09-17,서울경기,0
2003-09-18,서울경기,110
2003-09-19,서울경기,0.1
2003-09-20,서울경기,0
2003-09-21,서울경기,0
2003-09-22,서울경기,0
2003-09-23,서울경기,0
2003-09-24,서울경기,0
2003-09-25,서울경기,0
2003-09-26,서울경기,0
2003-09-27,서울경기,0
2003-09-28,서울경기,0
2003-09-29,서울경기,0
2003-09-30,서울경기,0
2003-10-01,서울경기,4.3
2003-10-02,서울경기,0
2003-10-03,서울경기,0
